Transaction_ID,Customer_ID,Transaction_Date,Age,Gender,City,Account_Type,Transaction_Type,Payment_Method,Amount,Balance
TXN000001,1103,2024-01-01 00:00:00.000000,40,Female,Bangalore,Current,Withdrawal,UPI,12654.83,280174.23
TXN000002,1436,2024-01-01 01:45:07.830783,33,Male,Bangalore,Savings,Withdrawal,ATM,90976.21,156267.27
TXN000003,1861,2024-01-01 03:30:15.661566,18,Female,Delhi,Current,Withdrawal,UPI,84394.06,135443.23
TXN000004,1271,2024-01-01 05:15:23.492349,29,Male,Pune,Savings,Deposit,ATM,46091.78,115090.67
TXN000005,1107,2024-01-01 07:00:31.323132,41,Male,Mumbai,Savings,Withdrawal,Debit Card,43062.2,283238.32
TXN000006,1072,2024-01-01 08:45:39.153915,51,Male,Bangalore,Current,Withdrawal,ATM,55324.69,276307.14
TXN000007,1701,2024-01-01 10:30:46.984698,70,Male,Mumbai,Savings,Withdrawal,UPI,59703.92,214044.78
TXN000008,1021,2024-01-01 12:15:54.815481,25,Female,Delhi,Savings,Withdrawal,ATM,25496.23,73527.82
TXN000009,1615,2024-01-01 14:01:02.646264,35,Female,Pune,Savings,Transfer,UPI,40433.8,464753.43
TXN000010,1122,2024-01-01 15:46:10.477047,65,Male,Mumbai,Savings,Deposit,Debit Card,62007.33,216828.3
TXN000011,1467,2024-01-01 17:31:18.307830,22,Female,Hyderabad,Savings,Withdrawal,Debit Card,20706.11,66202.94
TXN000012,1215,2024-01-01 19:16:26.138613,43,Male,Mumbai,Savings,Deposit,ATM,99883.44,23354.07
TXN000013,1331,2024-01-01 21:01:33.969396,47,Female,Chennai,Savings,Withdrawal,UPI,28365.65,80533.68
TXN000014,1459,2024-01-01 22:46:41.800180,30,Male,Chennai,Savings,Deposit,Debit Card,55286.29,152077.48
TXN000015,1088,2024-01-02 00:31:49.630963,36,Female,Delhi,Savings,Withdrawal,ATM,55460.54,316896.29
TXN000016,1373,2024-01-02 02:16:57.461746,46,Female,Delhi,Current,Deposit,UPI,45203.37,485613.16
TXN000017,1100,2024-01-02 04:02:05.292529,20,Male,Delhi,Current,Deposit,Net Banking,24230.19,139673.5
TXN000018,1872,2024-01-02 05:47:13.123312,43,Male,Hyderabad,Savings,Withdrawal,Debit Card,56578.77,395953.11
TXN000019,1664,2024-01-02 07:32:20.954095,57,Male,Pune,Current,Withdrawal,ATM,9192.34,456136.24
TXN000020,1131,2024-01-02 09:17:28.784878,29,Male,Hyderabad,Current,Transfer,UPI,38753.92,198828.42
TXN000021,1662,2024-01-02 11:02:36.615661,19,Male,Mumbai,Savings,Withdrawal,Net Banking,22502.79,130370.43
TXN000022,1309,2024-01-02 12:47:44.446444,28,Female,Bangalore,Current,Withdrawal,Debit Card,12505.36,248078.12
TXN000023,1770,2024-01-02 14:32:52.277227,61,Male,Pune,Savings,Withdrawal,ATM,92555.74,448872.49
TXN000024,1344,2024-01-02 16:18:00.108010,45,Female,Chennai,Savings,Deposit,Debit Card,70024.3,10436.02
TXN000025,1492,2024-01-02 18:03:07.938793,35,Male,Chennai,Savings,Deposit,UPI,16966.01,245882.58
TXN000026,1414,2024-01-02 19:48:15.769576,30,Female,Chennai,Savings,Deposit,UPI,94944.65,380009.65
TXN000027,1806,2024-01-02 21:33:23.600360,54,Female,Mumbai,Savings,Deposit,UPI,21677.61,302559.56
TXN000028,1386,2024-01-02 23:18:31.431143,39,Male,Mumbai,Savings,Deposit,UPI,23637.77,251182.99
TXN000029,1192,2024-01-03 01:03:39.261926,29,Male,Delhi,Savings,Transfer,Debit Card,13413.71,279038.53
TXN000030,1956,2024-01-03 02:48:47.092709,19,Female,Bangalore,Savings,Transfer,UPI,72812.53,311519.67
TXN000031,1277,2024-01-03 04:33:54.923492,54,Female,Delhi,Current,Transfer,Debit Card,57130.46,342627.2
TXN000032,1161,2024-01-03 06:19:02.754275,24,Male,Mumbai,Savings,Transfer,ATM,5919.29,181311.87
TXN000033,1460,2024-01-03 08:04:10.585058,43,Female,Hyderabad,Savings,Withdrawal,UPI,2627.46,261100.4
TXN000034,1314,2024-01-03 09:49:18.415841,43,Female,Delhi,Savings,Deposit,UPI,53312.68,140417.26
TXN000035,1022,2024-01-03 11:34:26.246624,41,Female,Pune,Savings,Withdrawal,ATM,65187.97,492075.08
TXN000036,1253,2024-01-03 13:19:34.077407,29,Female,Mumbai,Savings,Transfer,UPI,82305.07,97707.59
TXN000037,1748,2024-01-03 15:04:41.908190,33,Female,Mumbai,Savings,Withdrawal,UPI,47879.47,79575.33
TXN000038,1857,2024-01-03 16:49:49.738973,40,Female,Hyderabad,Savings,Withdrawal,Debit Card,67685.39,138067.03
TXN000039,1561,2024-01-03 18:34:57.569756,57,Male,Hyderabad,Savings,Deposit,ATM,73392.2,460426.85
